image_id,file_path,source_type,generator,prompt,primary_scene,secondary_scenes,quality_tags,split,notes
cafe_flux_normal_0001,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/images/cafe/cafe_flux_normal_0001.jpg,synthetic,flux1_schnell,"Realistic smartphone lifestyle photo for SnapCopy scene classification. Primary scene: cafe. Visual anchor: a realistic coffee shop moment with coffee cup, small table, warm interior, people nearby but not posed. Quality condition: clear realistic smartphone photo, natural lighting, no text overlay, no watermark. prioritize beautiful but still realistic phone-photo aesthetics. Shot should look like a real user photo, not stock photography. Use natural imperfections, plausible lighting, and ordinary objects. Negative prompt: commercial studio photo, perfect advertising composition, glossy render, 3d render, cartoon, anime, illustration, fake UI, unreadable gibberish text, watermark, logo, distorted hands, extra limbs, duplicate faces, unnatural skin, extreme blur, extreme noise.",cafe,,normal,pilot_review,精品正常样本，优先看是否像真实手机照片
cafe_sd35_low_light_0002,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/images/cafe/cafe_sd35_low_light_0002.jpg,synthetic,sd35_medium,"Realistic smartphone lifestyle photo for SnapCopy scene classification. Primary scene: cafe. Visual anchor: a realistic coffee shop moment with coffee cup, small table, warm interior, people nearby but not posed. Quality condition: low light indoor or evening photo, visible but dim, realistic phone noise, not too dark. prioritize natural phone realism and diverse casual details. Shot should look like a real user photo, not stock photography. Use natural imperfections, plausible lighting, and ordinary objects. Negative prompt: commercial studio photo, perfect advertising composition, glossy render, 3d render, cartoon, anime, illustration, fake UI, unreadable gibberish text, watermark, logo, distorted hands, extra limbs, duplicate faces, unnatural skin, extreme blur, extreme noise.",cafe,,low_light,pilot_review,低光困难样本
cafe_sd35_blurry_compressed_0003,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/images/cafe/cafe_sd35_blurry_compressed_0003.jpg,synthetic,sd35_medium,"Realistic smartphone lifestyle photo for SnapCopy scene classification. Primary scene: cafe. Visual anchor: a realistic coffee shop moment with coffee cup, small table, warm interior, people nearby but not posed. Quality condition: slightly shaky handheld photo, mild motion blur and compression artifacts, still recognizable. prioritize natural phone realism and diverse casual details. Shot should look like a real user photo, not stock photography. Use natural imperfections, plausible lighting, and ordinary objects. Negative prompt: commercial studio photo, perfect advertising composition, glossy render, 3d render, cartoon, anime, illustration, fake UI, unreadable gibberish text, watermark, logo, distorted hands, extra limbs, duplicate faces, unnatural skin, extreme blur, extreme noise.",cafe,,"blurry,compressed",pilot_review,轻微手抖和压缩，不要极端糊
cafe_sd35_cluttered_0004,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/images/cafe/cafe_sd35_cluttered_0004.jpg,synthetic,sd35_medium,"Realistic smartphone lifestyle photo for SnapCopy scene classification. Primary scene: cafe. Visual anchor: a realistic coffee shop moment with coffee cup, small table, warm interior, people nearby but not posed. Quality condition: messy real-life background, extra objects and visual clutter, still understandable. prioritize natural phone realism and diverse casual details. Shot should look like a real user photo, not stock photography. Use natural imperfections, plausible lighting, and ordinary objects. Negative prompt: commercial studio photo, perfect advertising composition, glossy render, 3d render, cartoon, anime, illustration, fake UI, unreadable gibberish text, watermark, logo, distorted hands, extra limbs, duplicate faces, unnatural skin, extreme blur, extreme noise.",cafe,,cluttered,pilot_review,杂物背景，保留主体
cafe_sd35_weird_angle_0005,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/images/cafe/cafe_sd35_weird_angle_0005.jpg,synthetic,sd35_medium,"Realistic smartphone lifestyle photo for SnapCopy scene classification. Primary scene: cafe. Visual anchor: a realistic coffee shop moment with coffee cup, small table, warm interior, people nearby but not posed. Quality condition: awkward tilted or top-down smartphone angle, casual composition, not a studio shot. prioritize natural phone realism and diverse casual details. Shot should look like a real user photo, not stock photography. Use natural imperfections, plausible lighting, and ordinary objects. Negative prompt: commercial studio photo, perfect advertising composition, glossy render, 3d render, cartoon, anime, illustration, fake UI, unreadable gibberish text, watermark, logo, distorted hands, extra limbs, duplicate faces, unnatural skin, extreme blur, extreme noise.",cafe,,weird_angle,pilot_review,奇怪角度，模拟随手拍
cafe_sd35_partial_subject_0006,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/images/cafe/cafe_sd35_partial_subject_0006.jpg,synthetic,sd35_medium,"Realistic smartphone lifestyle photo for SnapCopy scene classification. Primary scene: cafe. Visual anchor: a realistic coffee shop moment with coffee cup, small table, warm interior, people nearby but not posed. Quality condition: main subject partly cropped or partially visible, realistic accidental framing. prioritize natural phone realism and diverse casual details. Shot should look like a real user photo, not stock photography. Use natural imperfections, plausible lighting, and ordinary objects. Negative prompt: commercial studio photo, perfect advertising composition, glossy render, 3d render, cartoon, anime, illustration, fake UI, unreadable gibberish text, watermark, logo, distorted hands, extra limbs, duplicate faces, unnatural skin, extreme blur, extreme noise.",cafe,,partial_subject,pilot_review,主体部分裁切
cafe_sd35_screenshot_text_overlay_0007,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/images/cafe/cafe_sd35_screenshot_text_overlay_0007.jpg,synthetic,sd35_medium,"Realistic smartphone lifestyle photo for SnapCopy scene classification. Primary scene: cafe. Visual anchor: a realistic coffee shop moment with coffee cup, small table, warm interior, people nearby but not posed. Quality condition: phone screenshot-like image containing a photo with small UI bars or subtle text overlay, realistic but not a clean camera photo. prioritize natural phone realism and diverse casual details. Shot should look like a real user photo, not stock photography. Use natural imperfections, plausible lighting, and ordinary objects. Negative prompt: commercial studio photo, perfect advertising composition, glossy render, 3d render, cartoon, anime, illustration, fake UI, unreadable gibberish text, watermark, logo, distorted hands, extra limbs, duplicate faces, unnatural skin, extreme blur, extreme noise.",cafe,,"screenshot,text_overlay",pilot_review,特殊来源样本，审核后再决定是否训练
cafe_sd35_collage_0008,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/images/cafe/cafe_sd35_collage_0008.jpg,synthetic,sd35_medium,"Realistic smartphone lifestyle photo for SnapCopy scene classification. Primary scene: cafe. Visual anchor: a realistic coffee shop moment with coffee cup, small table, warm interior, people nearby but not posed. Quality condition: simple two-photo or three-photo collage layout, real phone album style, no decorative design. prioritize natural phone realism and diverse casual details. Shot should look like a real user photo, not stock photography. Use natural imperfections, plausible lighting, and ordinary objects. Negative prompt: commercial studio photo, perfect advertising composition, glossy render, 3d render, cartoon, anime, illustration, fake UI, unreadable gibberish text, watermark, logo, distorted hands, extra limbs, duplicate faces, unnatural skin, extreme blur, extreme noise.",cafe,,collage,pilot_review,拼图样本，审核后再决定是否训练
cafe_flux_backlight_0009,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/images/cafe/cafe_flux_backlight_0009.jpg,synthetic,flux1_schnell,"Realistic smartphone lifestyle photo for SnapCopy scene classification. Primary scene: cafe. Visual anchor: a realistic coffee shop moment with coffee cup, small table, warm interior, people nearby but not posed. Quality condition: strong window or sunset backlight, subject slightly shadowed but recognizable. prioritize beautiful but still realistic phone-photo aesthetics. Shot should look like a real user photo, not stock photography. Use natural imperfections, plausible lighting, and ordinary objects. Negative prompt: commercial studio photo, perfect advertising composition, glossy render, 3d render, cartoon, anime, illustration, fake UI, unreadable gibberish text, watermark, logo, distorted hands, extra limbs, duplicate faces, unnatural skin, extreme blur, extreme noise.",cafe,,backlight,pilot_review,精品逆光样本，控制真实感
cafe_sd35_overexposed_0010,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/images/cafe/cafe_sd35_overexposed_0010.jpg,synthetic,sd35_medium,"Realistic smartphone lifestyle photo for SnapCopy scene classification. Primary scene: cafe. Visual anchor: a realistic coffee shop moment with coffee cup, small table, warm interior, people nearby but not posed. Quality condition: slightly overexposed bright area, washed highlights, still realistic and usable. prioritize natural phone realism and diverse casual details. Shot should look like a real user photo, not stock photography. Use natural imperfections, plausible lighting, and ordinary objects. Negative prompt: commercial studio photo, perfect advertising composition, glossy render, 3d render, cartoon, anime, illustration, fake UI, unreadable gibberish text, watermark, logo, distorted hands, extra limbs, duplicate faces, unnatural skin, extreme blur, extreme noise.",cafe,,overexposed,pilot_review,轻微过曝，不能完全丢失主体
walking_flux_normal_0001,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/images/walking/walking_flux_normal_0001.jpg,synthetic,flux1_schnell,"Realistic smartphone lifestyle photo for SnapCopy scene classification. Primary scene: walking. Visual anchor: a first-person or over-the-shoulder daily walking snapshot with sidewalk, trees, path, shoes or hand details. Quality condition: clear realistic smartphone photo, natural lighting, no text overlay, no watermark. prioritize beautiful but still realistic phone-photo aesthetics. Shot should look like a real user photo, not stock photography. Use natural imperfections, plausible lighting, and ordinary objects. Negative prompt: commercial studio photo, perfect advertising composition, glossy render, 3d render, cartoon, anime, illustration, fake UI, unreadable gibberish text, watermark, logo, distorted hands, extra limbs, duplicate faces, unnatural skin, extreme blur, extreme noise.",walking,,normal,pilot_review,精品正常样本，优先看是否像真实手机照片
walking_sd35_low_light_0002,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/images/walking/walking_sd35_low_light_0002.jpg,synthetic,sd35_medium,"Realistic smartphone lifestyle photo for SnapCopy scene classification. Primary scene: walking. Visual anchor: a first-person or over-the-shoulder daily walking snapshot with sidewalk, trees, path, shoes or hand details. Quality condition: low light indoor or evening photo, visible but dim, realistic phone noise, not too dark. prioritize natural phone realism and diverse casual details. Shot should look like a real user photo, not stock photography. Use natural imperfections, plausible lighting, and ordinary objects. Negative prompt: commercial studio photo, perfect advertising composition, glossy render, 3d render, cartoon, anime, illustration, fake UI, unreadable gibberish text, watermark, logo, distorted hands, extra limbs, duplicate faces, unnatural skin, extreme blur, extreme noise.",walking,,low_light,pilot_review,低光困难样本
walking_sd35_blurry_compressed_0003,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/images/walking/walking_sd35_blurry_compressed_0003.jpg,synthetic,sd35_medium,"Realistic smartphone lifestyle photo for SnapCopy scene classification. Primary scene: walking. Visual anchor: a first-person or over-the-shoulder daily walking snapshot with sidewalk, trees, path, shoes or hand details. Quality condition: slightly shaky handheld photo, mild motion blur and compression artifacts, still recognizable. prioritize natural phone realism and diverse casual details. Shot should look like a real user photo, not stock photography. Use natural imperfections, plausible lighting, and ordinary objects. Negative prompt: commercial studio photo, perfect advertising composition, glossy render, 3d render, cartoon, anime, illustration, fake UI, unreadable gibberish text, watermark, logo, distorted hands, extra limbs, duplicate faces, unnatural skin, extreme blur, extreme noise.",walking,,"blurry,compressed",pilot_review,轻微手抖和压缩，不要极端糊
walking_sd35_cluttered_0004,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/images/walking/walking_sd35_cluttered_0004.jpg,synthetic,sd35_medium,"Realistic smartphone lifestyle photo for SnapCopy scene classification. Primary scene: walking. Visual anchor: a first-person or over-the-shoulder daily walking snapshot with sidewalk, trees, path, shoes or hand details. Quality condition: messy real-life background, extra objects and visual clutter, still understandable. prioritize natural phone realism and diverse casual details. Shot should look like a real user photo, not stock photography. Use natural imperfections, plausible lighting, and ordinary objects. Negative prompt: commercial studio photo, perfect advertising composition, glossy render, 3d render, cartoon, anime, illustration, fake UI, unreadable gibberish text, watermark, logo, distorted hands, extra limbs, duplicate faces, unnatural skin, extreme blur, extreme noise.",walking,,cluttered,pilot_review,杂物背景，保留主体
walking_sd35_weird_angle_0005,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/images/walking/walking_sd35_weird_angle_0005.jpg,synthetic,sd35_medium,"Realistic smartphone lifestyle photo for SnapCopy scene classification. Primary scene: walking. Visual anchor: a first-person or over-the-shoulder daily walking snapshot with sidewalk, trees, path, shoes or hand details. Quality condition: awkward tilted or top-down smartphone angle, casual composition, not a studio shot. prioritize natural phone realism and diverse casual details. Shot should look like a real user photo, not stock photography. Use natural imperfections, plausible lighting, and ordinary objects. Negative prompt: commercial studio photo, perfect advertising composition, glossy render, 3d render, cartoon, anime, illustration, fake UI, unreadable gibberish text, watermark, logo, distorted hands, extra limbs, duplicate faces, unnatural skin, extreme blur, extreme noise.",walking,,weird_angle,pilot_review,奇怪角度，模拟随手拍
walking_sd35_partial_subject_0006,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/images/walking/walking_sd35_partial_subject_0006.jpg,synthetic,sd35_medium,"Realistic smartphone lifestyle photo for SnapCopy scene classification. Primary scene: walking. Visual anchor: a first-person or over-the-shoulder daily walking snapshot with sidewalk, trees, path, shoes or hand details. Quality condition: main subject partly cropped or partially visible, realistic accidental framing. prioritize natural phone realism and diverse casual details. Shot should look like a real user photo, not stock photography. Use natural imperfections, plausible lighting, and ordinary objects. Negative prompt: commercial studio photo, perfect advertising composition, glossy render, 3d render, cartoon, anime, illustration, fake UI, unreadable gibberish text, watermark, logo, distorted hands, extra limbs, duplicate faces, unnatural skin, extreme blur, extreme noise.",walking,,partial_subject,pilot_review,主体部分裁切
walking_sd35_screenshot_text_overlay_0007,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/images/walking/walking_sd35_screenshot_text_overlay_0007.jpg,synthetic,sd35_medium,"Realistic smartphone lifestyle photo for SnapCopy scene classification. Primary scene: walking. Visual anchor: a first-person or over-the-shoulder daily walking snapshot with sidewalk, trees, path, shoes or hand details. Quality condition: phone screenshot-like image containing a photo with small UI bars or subtle text overlay, realistic but not a clean camera photo. prioritize natural phone realism and diverse casual details. Shot should look like a real user photo, not stock photography. Use natural imperfections, plausible lighting, and ordinary objects. Negative prompt: commercial studio photo, perfect advertising composition, glossy render, 3d render, cartoon, anime, illustration, fake UI, unreadable gibberish text, watermark, logo, distorted hands, extra limbs, duplicate faces, unnatural skin, extreme blur, extreme noise.",walking,,"screenshot,text_overlay",pilot_review,特殊来源样本，审核后再决定是否训练
walking_sd35_collage_0008,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/images/walking/walking_sd35_collage_0008.jpg,synthetic,sd35_medium,"Realistic smartphone lifestyle photo for SnapCopy scene classification. Primary scene: walking. Visual anchor: a first-person or over-the-shoulder daily walking snapshot with sidewalk, trees, path, shoes or hand details. Quality condition: simple two-photo or three-photo collage layout, real phone album style, no decorative design. prioritize natural phone realism and diverse casual details. Shot should look like a real user photo, not stock photography. Use natural imperfections, plausible lighting, and ordinary objects. Negative prompt: commercial studio photo, perfect advertising composition, glossy render, 3d render, cartoon, anime, illustration, fake UI, unreadable gibberish text, watermark, logo, distorted hands, extra limbs, duplicate faces, unnatural skin, extreme blur, extreme noise.",walking,,collage,pilot_review,拼图样本，审核后再决定是否训练
walking_flux_backlight_0009,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/images/walking/walking_flux_backlight_0009.jpg,synthetic,flux1_schnell,"Realistic smartphone lifestyle photo for SnapCopy scene classification. Primary scene: walking. Visual anchor: a first-person or over-the-shoulder daily walking snapshot with sidewalk, trees, path, shoes or hand details. Quality condition: strong window or sunset backlight, subject slightly shadowed but recognizable. prioritize beautiful but still realistic phone-photo aesthetics. Shot should look like a real user photo, not stock photography. Use natural imperfections, plausible lighting, and ordinary objects. Negative prompt: commercial studio photo, perfect advertising composition, glossy render, 3d render, cartoon, anime, illustration, fake UI, unreadable gibberish text, watermark, logo, distorted hands, extra limbs, duplicate faces, unnatural skin, extreme blur, extreme noise.",walking,,backlight,pilot_review,精品逆光样本，控制真实感
walking_sd35_overexposed_0010,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/images/walking/walking_sd35_overexposed_0010.jpg,synthetic,sd35_medium,"Realistic smartphone lifestyle photo for SnapCopy scene classification. Primary scene: walking. Visual anchor: a first-person or over-the-shoulder daily walking snapshot with sidewalk, trees, path, shoes or hand details. Quality condition: slightly overexposed bright area, washed highlights, still realistic and usable. prioritize natural phone realism and diverse casual details. Shot should look like a real user photo, not stock photography. Use natural imperfections, plausible lighting, and ordinary objects. Negative prompt: commercial studio photo, perfect advertising composition, glossy render, 3d render, cartoon, anime, illustration, fake UI, unreadable gibberish text, watermark, logo, distorted hands, extra limbs, duplicate faces, unnatural skin, extreme blur, extreme noise.",walking,,overexposed,pilot_review,轻微过曝，不能完全丢失主体
street_flux_normal_0001,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/images/street/street_flux_normal_0001.jpg,synthetic,flux1_schnell,"Realistic smartphone lifestyle photo for SnapCopy scene classification. Primary scene: street. Visual anchor: a city street scene with road, buildings, crosswalks, parked cars, storefronts or urban space as the subject. Quality condition: clear realistic smartphone photo, natural lighting, no text overlay, no watermark. prioritize beautiful but still realistic phone-photo aesthetics. Shot should look like a real user photo, not stock photography. Use natural imperfections, plausible lighting, and ordinary objects. Negative prompt: commercial studio photo, perfect advertising composition, glossy render, 3d render, cartoon, anime, illustration, fake UI, unreadable gibberish text, watermark, logo, distorted hands, extra limbs, duplicate faces, unnatural skin, extreme blur, extreme noise.",street,,normal,pilot_review,精品正常样本，优先看是否像真实手机照片
street_sd35_low_light_0002,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/images/street/street_sd35_low_light_0002.jpg,synthetic,sd35_medium,"Realistic smartphone lifestyle photo for SnapCopy scene classification. Primary scene: street. Visual anchor: a city street scene with road, buildings, crosswalks, parked cars, storefronts or urban space as the subject. Quality condition: low light indoor or evening photo, visible but dim, realistic phone noise, not too dark. prioritize natural phone realism and diverse casual details. Shot should look like a real user photo, not stock photography. Use natural imperfections, plausible lighting, and ordinary objects. Negative prompt: commercial studio photo, perfect advertising composition, glossy render, 3d render, cartoon, anime, illustration, fake UI, unreadable gibberish text, watermark, logo, distorted hands, extra limbs, duplicate faces, unnatural skin, extreme blur, extreme noise.",street,,low_light,pilot_review,低光困难样本
street_sd35_blurry_compressed_0003,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/images/street/street_sd35_blurry_compressed_0003.jpg,synthetic,sd35_medium,"Realistic smartphone lifestyle photo for SnapCopy scene classification. Primary scene: street. Visual anchor: a city street scene with road, buildings, crosswalks, parked cars, storefronts or urban space as the subject. Quality condition: slightly shaky handheld photo, mild motion blur and compression artifacts, still recognizable. prioritize natural phone realism and diverse casual details. Shot should look like a real user photo, not stock photography. Use natural imperfections, plausible lighting, and ordinary objects. Negative prompt: commercial studio photo, perfect advertising composition, glossy render, 3d render, cartoon, anime, illustration, fake UI, unreadable gibberish text, watermark, logo, distorted hands, extra limbs, duplicate faces, unnatural skin, extreme blur, extreme noise.",street,,"blurry,compressed",pilot_review,轻微手抖和压缩，不要极端糊
street_sd35_cluttered_0004,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/images/street/street_sd35_cluttered_0004.jpg,synthetic,sd35_medium,"Realistic smartphone lifestyle photo for SnapCopy scene classification. Primary scene: street. Visual anchor: a city street scene with road, buildings, crosswalks, parked cars, storefronts or urban space as the subject. Quality condition: messy real-life background, extra objects and visual clutter, still understandable. prioritize natural phone realism and diverse casual details. Shot should look like a real user photo, not stock photography. Use natural imperfections, plausible lighting, and ordinary objects. Negative prompt: commercial studio photo, perfect advertising composition, glossy render, 3d render, cartoon, anime, illustration, fake UI, unreadable gibberish text, watermark, logo, distorted hands, extra limbs, duplicate faces, unnatural skin, extreme blur, extreme noise.",street,,cluttered,pilot_review,杂物背景，保留主体
