image_id,file_path,primary_scene,quality_tags,generator,model,keep_or_remove,remove_reason,reviewed_at,review_notes
cafe_gemini_normal_0001,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/cafe/cafe_gemini_normal_0001.jpg,cafe,normal,gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
cafe_gemini_low_light_0002,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/cafe/cafe_gemini_low_light_0002.jpg,cafe,low_light,gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
cafe_gemini_blurry_compressed_0003,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/cafe/cafe_gemini_blurry_compressed_0003.jpg,cafe,"blurry,compressed",gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
cafe_gemini_cluttered_0004,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/cafe/cafe_gemini_cluttered_0004.jpg,cafe,cluttered,gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
cafe_gemini_weird_angle_0005,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/cafe/cafe_gemini_weird_angle_0005.jpg,cafe,weird_angle,gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
cafe_gemini_partial_subject_0006,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/cafe/cafe_gemini_partial_subject_0006.jpg,cafe,partial_subject,gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
cafe_gemini_screenshot_text_overlay_0007,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/cafe/cafe_gemini_screenshot_text_overlay_0007.jpg,cafe,"screenshot,text_overlay",gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
cafe_gemini_collage_0008,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/cafe/cafe_gemini_collage_0008.jpg,cafe,collage,gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
cafe_gemini_backlight_0009,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/cafe/cafe_gemini_backlight_0009.jpg,cafe,backlight,gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
cafe_gemini_overexposed_0010,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/cafe/cafe_gemini_overexposed_0010.jpg,cafe,overexposed,gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
walking_gemini_normal_0001,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/walking/walking_gemini_normal_0001.jpg,walking,normal,gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
walking_gemini_low_light_0002,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/walking/walking_gemini_low_light_0002.jpg,walking,low_light,gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
walking_gemini_blurry_compressed_0003,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/walking/walking_gemini_blurry_compressed_0003.jpg,walking,"blurry,compressed",gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
walking_gemini_cluttered_0004,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/walking/walking_gemini_cluttered_0004.jpg,walking,cluttered,gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
walking_gemini_weird_angle_0005,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/walking/walking_gemini_weird_angle_0005.jpg,walking,weird_angle,gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
walking_gemini_partial_subject_0006,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/walking/walking_gemini_partial_subject_0006.jpg,walking,partial_subject,gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
walking_gemini_screenshot_text_overlay_0007,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/walking/walking_gemini_screenshot_text_overlay_0007.jpg,walking,"screenshot,text_overlay",gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
walking_gemini_collage_0008,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/walking/walking_gemini_collage_0008.jpg,walking,collage,gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
walking_gemini_backlight_0009,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/walking/walking_gemini_backlight_0009.jpg,walking,backlight,gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
walking_gemini_overexposed_0010,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/walking/walking_gemini_overexposed_0010.jpg,walking,overexposed,gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
street_gemini_normal_0001,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/street/street_gemini_normal_0001.jpg,street,normal,gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
street_gemini_low_light_0002,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/street/street_gemini_low_light_0002.jpg,street,low_light,gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
street_gemini_blurry_compressed_0003,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/street/street_gemini_blurry_compressed_0003.jpg,street,"blurry,compressed",gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
street_gemini_cluttered_0004,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/street/street_gemini_cluttered_0004.jpg,street,cluttered,gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
street_gemini_weird_angle_0005,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/street/street_gemini_weird_angle_0005.jpg,street,weird_angle,gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
street_gemini_partial_subject_0006,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/street/street_gemini_partial_subject_0006.jpg,street,partial_subject,gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
street_gemini_screenshot_text_overlay_0007,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/street/street_gemini_screenshot_text_overlay_0007.jpg,street,"screenshot,text_overlay",gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
street_gemini_collage_0008,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/street/street_gemini_collage_0008.jpg,street,collage,gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
street_gemini_backlight_0009,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/street/street_gemini_backlight_0009.jpg,street,backlight,gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
street_gemini_overexposed_0010,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/street/street_gemini_overexposed_0010.jpg,street,overexposed,gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
travel_gemini_normal_0001,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/travel/travel_gemini_normal_0001.jpg,travel,normal,gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
travel_gemini_low_light_0002,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/travel/travel_gemini_low_light_0002.jpg,travel,low_light,gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
travel_gemini_blurry_compressed_0003,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/travel/travel_gemini_blurry_compressed_0003.jpg,travel,"blurry,compressed",gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
travel_gemini_cluttered_0004,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/travel/travel_gemini_cluttered_0004.jpg,travel,cluttered,gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
travel_gemini_weird_angle_0005,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/travel/travel_gemini_weird_angle_0005.jpg,travel,weird_angle,gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
travel_gemini_partial_subject_0006,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/travel/travel_gemini_partial_subject_0006.jpg,travel,partial_subject,gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
travel_gemini_screenshot_text_overlay_0007,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/travel/travel_gemini_screenshot_text_overlay_0007.jpg,travel,"screenshot,text_overlay",gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
travel_gemini_collage_0008,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/travel/travel_gemini_collage_0008.jpg,travel,collage,gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
travel_gemini_backlight_0009,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/travel/travel_gemini_backlight_0009.jpg,travel,backlight,gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
travel_gemini_overexposed_0010,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/travel/travel_gemini_overexposed_0010.jpg,travel,overexposed,gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
pet_gemini_normal_0001,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/pet/pet_gemini_normal_0001.jpg,pet,normal,gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
pet_gemini_low_light_0002,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/pet/pet_gemini_low_light_0002.jpg,pet,low_light,gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
pet_gemini_blurry_compressed_0003,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/pet/pet_gemini_blurry_compressed_0003.jpg,pet,"blurry,compressed",gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
pet_gemini_cluttered_0004,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/pet/pet_gemini_cluttered_0004.jpg,pet,cluttered,gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
pet_gemini_weird_angle_0005,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/pet/pet_gemini_weird_angle_0005.jpg,pet,weird_angle,gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
pet_gemini_partial_subject_0006,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/pet/pet_gemini_partial_subject_0006.jpg,pet,partial_subject,gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
pet_gemini_screenshot_text_overlay_0007,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/pet/pet_gemini_screenshot_text_overlay_0007.jpg,pet,"screenshot,text_overlay",gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
pet_gemini_collage_0008,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/pet/pet_gemini_collage_0008.jpg,pet,collage,gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
pet_gemini_backlight_0009,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/pet/pet_gemini_backlight_0009.jpg,pet,backlight,gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
pet_gemini_overexposed_0010,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/pet/pet_gemini_overexposed_0010.jpg,pet,overexposed,gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
breakfast_qwen_normal_0001,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/qwen_images/breakfast/breakfast_qwen_normal_0001.jpg,breakfast,normal,dashscope,qwen-image-plus,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
